"","WK_ID","WK","MESSSTELLE","ID_ABSCHNITT","QK","Parameterbezeichnung","DATUM","WERT","Kommentar","EINHEIT","MESSPROGRAMM","EU_CD_LW"
"1","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-02-19,519.8,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"2","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-03-03,989.8,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"3","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-03-18,1020.83,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"4","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-04-02,1352.4,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"5","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-04-17,756.8,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"6","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-04-29,719.1,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"7","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-05-13,1468.37,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"8","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-05-27,842.8,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"9","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-06-11,651.7,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"10","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-06-24,846.88,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"11","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-07-15,1070.65,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
"12","80001581473","Templiner See bei Templin","WP_TES_A_1","WP_TES_A_1","Abfluss FG (Hydrologie)","Abfluss (l/s)",2009-07-28,704,NA,"l/s","investigatives Monitoring Templiner Seenkreuz","DELW_DEBB80001581473"
