"","WK_ID","WK","MESSSTELLE","ABSCHNITT","JAHR","LAENGE_VON","LAENGE_BIS","TIEFE_VON","TIEFE_BIS","EU_CD_LW"
"1","80001581473","Templiner See bei Templin","2791","2791a","2007",0,10,0,1.8,"DELW_DEBB80001581473"
"2","80001581473","Templiner See bei Templin","2791","2791a","2010",0,12,0,2,"DELW_DEBB80001581473"
"3","80001581473","Templiner See bei Templin","2791","2791a","2014",0,11,0,1.4,"DELW_DEBB80001581473"
"4","80001581473","Templiner See bei Templin","2791","2791a","2017",0,17,0,1.9,"DELW_DEBB80001581473"
"5","80001581473","Templiner See bei Templin","2791","2791b","2014",11,15,1.4,2.2,"DELW_DEBB80001581473"
"6","80001581473","Templiner See bei Templin","2792","2792a","2007",0,0,0,0,"DELW_DEBB80001581473"
"7","80001581473","Templiner See bei Templin","2792","2792a","2010",0,9,0,0.5,"DELW_DEBB80001581473"
"8","80001581473","Templiner See bei Templin","2792","2792a","2014",0,9,0,2.4,"DELW_DEBB80001581473"
"9","80001581473","Templiner See bei Templin","2792","2792a","2017",0,0,0,0,"DELW_DEBB80001581473"
"10","80001581473","Templiner See bei Templin","2793","2793a","2007",0,6,0,1.5,"DELW_DEBB80001581473"
"11","80001581473","Templiner See bei Templin","2793","2793a","2010",0,5,0,1,"DELW_DEBB80001581473"
"12","80001581473","Templiner See bei Templin","2793","2793a","2014",0,9,0,1.8,"DELW_DEBB80001581473"
"13","80001581473","Templiner See bei Templin","2793","2793a","2017",0,5,0,0.6,"DELW_DEBB80001581473"
"14","80001581473","Templiner See bei Templin","2793","2793b","2010",5,9,1,2.1,"DELW_DEBB80001581473"
"15","80001581473","Templiner See bei Templin","2793","2793b","2017",5,8,0.6,1.9,"DELW_DEBB80001581473"
"16","80001581473","Templiner See bei Templin","2794","2794a","2007",0,6,0,0.7,"DELW_DEBB80001581473"
"17","80001581473","Templiner See bei Templin","2794","2794a","2010",0,6,0,0.5,"DELW_DEBB80001581473"
"18","80001581473","Templiner See bei Templin","2794","2794a","2014",0,4,0,0.5,"DELW_DEBB80001581473"
"19","80001581473","Templiner See bei Templin","2794","2794a","2017",0,9,0,1,"DELW_DEBB80001581473"
"20","80001581473","Templiner See bei Templin","2794","2794b","2007",6,9,0.7,1,"DELW_DEBB80001581473"
"21","80001581473","Templiner See bei Templin","2794","2794b","2010",6,10,0.5,0.9,"DELW_DEBB80001581473"
"22","80001581473","Templiner See bei Templin","2794","2794b","2014",4,9,0.5,1,"DELW_DEBB80001581473"
"23","80001581473","Templiner See bei Templin","2794","2794b","2017",9,18,1,1.8,"DELW_DEBB80001581473"
"24","80001581473","Templiner See bei Templin","2794","2794c","2010",10,15,0.9,1.7,"DELW_DEBB80001581473"
"25","80001581473","Templiner See bei Templin","2794","2794c","2014",9,18,1,2.3,"DELW_DEBB80001581473"
"26","80001581473","Templiner See bei Templin","2795","2795a","2007",0,7,0,1,"DELW_DEBB80001581473"
"27","80001581473","Templiner See bei Templin","2795","2795a","2010",0,9,0,1,"DELW_DEBB80001581473"
"28","80001581473","Templiner See bei Templin","2795","2795a","2014",0,6,0,1,"DELW_DEBB80001581473"
"29","80001581473","Templiner See bei Templin","2795","2795a","2017",0,5,0,0.8,"DELW_DEBB80001581473"
"30","80001581473","Templiner See bei Templin","2795","2795b","2007",7,11,1,2,"DELW_DEBB80001581473"
"31","80001581473","Templiner See bei Templin","2795","2795b","2010",9,14,1,2,"DELW_DEBB80001581473"
"32","80001581473","Templiner See bei Templin","2795","2795b","2014",6,13,1,1.6,"DELW_DEBB80001581473"
"33","80001581473","Templiner See bei Templin","2795","2795b","2017",5,14,0.8,1.7,"DELW_DEBB80001581473"
"34","80001581473","Templiner See bei Templin","2795","2795c","2014",13,16,1.6,2.4,"DELW_DEBB80001581473"
"35","80001581473","Templiner See bei Templin","2796","2796a","2007",0,8,0,1.2,"DELW_DEBB80001581473"
"36","80001581473","Templiner See bei Templin","2796","2796a","2010",0,8,0,1.1,"DELW_DEBB80001581473"
"37","80001581473","Templiner See bei Templin","2796","2796a","2014",0,10,0,1.8,"DELW_DEBB80001581473"
"38","80001581473","Templiner See bei Templin","2796","2796a","2017",0,10,0,1.8,"DELW_DEBB80001581473"
"39","80001581473","Templiner See bei Templin","2796","2796b","2007",8,10,1.2,2,"DELW_DEBB80001581473"
"40","80001581473","Templiner See bei Templin","2796","2796b","2010",8,14,1.1,2.2,"DELW_DEBB80001581473"
"41","80001581473","Templiner See bei Templin","2796","2796b","2014",10,14,1.8,2.3,"DELW_DEBB80001581473"
"42","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx0,5","2007",NA,NA,NA,0.5,"DELW_DEBB80001581473"
"43","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx0,5","2009",NA,NA,NA,0.5,"DELW_DEBB80001581473"
"44","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx0,5","2010",NA,NA,NA,0.5,"DELW_DEBB80001581473"
"45","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx0,5","2017",NA,NA,NA,0.5,"DELW_DEBB80001581473"
"46","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx0,5","2020",NA,NA,NA,0.5,"DELW_DEBB80001581473"
"47","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx0,5","2023",NA,NA,0.5,0.5,"DELW_DEBB80001581473"
"48","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx1","2007",NA,NA,NA,1,"DELW_DEBB80001581473"
"49","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx1","2009",NA,NA,NA,1,"DELW_DEBB80001581473"
"50","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx1","2010",NA,NA,NA,1,"DELW_DEBB80001581473"
"51","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx1","2023",NA,NA,1,1,"DELW_DEBB80001581473"
"52","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx1,0","2017",NA,NA,NA,1,"DELW_DEBB80001581473"
"53","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx1,0","2020",NA,NA,NA,1,"DELW_DEBB80001581473"
"54","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx1,5","2009",NA,NA,NA,1.5,"DELW_DEBB80001581473"
"55","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2","2007",NA,NA,NA,2,"DELW_DEBB80001581473"
"56","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2","2009",NA,NA,NA,2,"DELW_DEBB80001581473"
"57","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2","2010",NA,NA,NA,2,"DELW_DEBB80001581473"
"58","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2","2023",NA,NA,2,2,"DELW_DEBB80001581473"
"59","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2,0","2017",NA,NA,NA,2,"DELW_DEBB80001581473"
"60","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2,0","2020",NA,NA,NA,2,"DELW_DEBB80001581473"
"61","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2,5","2009",NA,NA,NA,2.5,"DELW_DEBB80001581473"
"62","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx2,5","2010",NA,NA,NA,2.5,"DELW_DEBB80001581473"
"63","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3","2007",NA,NA,NA,3,"DELW_DEBB80001581473"
"64","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3","2009",NA,NA,NA,3,"DELW_DEBB80001581473"
"65","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3","2010",NA,NA,NA,3,"DELW_DEBB80001581473"
"66","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3","2023",NA,NA,3,3,"DELW_DEBB80001581473"
"67","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3,0","2017",NA,NA,NA,3,"DELW_DEBB80001581473"
"68","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3,0","2020",NA,NA,NA,3,"DELW_DEBB80001581473"
"69","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3,5","2009",NA,NA,NA,3.5,"DELW_DEBB80001581473"
"70","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3,5","2010",NA,NA,NA,3.5,"DELW_DEBB80001581473"
"71","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx3,5","2020",NA,NA,NA,3.5,"DELW_DEBB80001581473"
"72","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4","2007",NA,NA,NA,4,"DELW_DEBB80001581473"
"73","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4","2009",NA,NA,NA,4,"DELW_DEBB80001581473"
"74","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4","2010",NA,NA,NA,4,"DELW_DEBB80001581473"
"75","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4","2023",NA,NA,4,4,"DELW_DEBB80001581473"
"76","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4,0","2017",NA,NA,NA,4,"DELW_DEBB80001581473"
"77","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4,0","2020",NA,NA,NA,4,"DELW_DEBB80001581473"
"78","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4,5","2009",NA,NA,NA,4.5,"DELW_DEBB80001581473"
"79","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4,5","2010",NA,NA,NA,4.5,"DELW_DEBB80001581473"
"80","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx4,5","2020",NA,NA,NA,4.5,"DELW_DEBB80001581473"
"81","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx5","2007",NA,NA,NA,5,"DELW_DEBB80001581473"
"82","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx5","2009",NA,NA,NA,5,"DELW_DEBB80001581473"
"83","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx5","2010",NA,NA,NA,5,"DELW_DEBB80001581473"
"84","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx5","2023",NA,NA,5,5,"DELW_DEBB80001581473"
"85","80001581473","Templiner See bei Templin","80001581473_HM","80001581473_HMx5,0","2017",NA,NA,NA,5,"DELW_DEBB80001581473"
