"code","ages","name","value"
"EN26_200",1033,"Fe",0.519394157454371
"EN26_200",1033,"Mn",0.428555331658572
"EN26_200",1033,"Se",0.138001943705603
"EN26_200",1033,"C",0.142418920993805
"EN26_200",1039,"Fe",0.215578591218218
"EN26_200",1039,"Mn",0.626007956918329
"EN26_200",1039,"Se",0.970276333158836
"EN26_200",1039,"C",0.34864444937557
"EN26_200",1073,"Fe",0.988837332231924
"EN26_200",1073,"Mn",0.950913064647466
"EN26_200",1073,"Se",0.176530895289034
"EN26_200",1073,"C",0.831534436671063
"EN26_200",1078,"Fe",0.292846006574109
"EN26_200",1078,"Mn",0.903509864583611
"EN26_200",1078,"Se",0.278619741555303
"EN26_200",1078,"C",0.94592455518432
"EN26_200",1086,"Fe",0.463285314384848
"EN26_200",1086,"Mn",0.951972760260105
"EN26_200",1086,"Se",0.82645909790881
"EN26_200",1086,"C",0.314657053910196
"EN26_200",1104,"Fe",0.549611351918429
"EN26_200",1104,"Mn",0.134447269141674
"EN26_200",1104,"Se",0.422013448551297
"EN26_200",1104,"C",0.320990889100358
"EN26_200",1109,"Fe",0.271538564004004
"EN26_200",1109,"Mn",0.507446367060766
"EN26_200",1109,"Se",0.814353555673733
"EN26_200",1109,"C",0.403629183536395
"EN26_200",1114,"Fe",0.643574634566903
"EN26_200",1114,"Mn",0.0616668649017811
"EN26_200",1114,"Se",0.0640061104204506
"EN26_200",1114,"C",0.521683502011001
"EN26_200",1117,"Fe",0.62604477093555
"EN26_200",1117,"Mn",0.108893210301176
"EN26_200",1117,"Se",0.374670744640753
"EN26_200",1117,"C",0.452597210882232
"EN26_200",1124,"Fe",0.694103512912989
"EN26_200",1124,"Mn",0.650871279183775
"EN26_200",1124,"Se",0.0195957282558084
"EN26_200",1124,"C",0.496635629562661
"EN26_200",1127,"Fe",0.189540893537924
"EN26_200",1127,"Mn",0.926208919612691
"EN26_200",1127,"Se",0.242501117987558
"EN26_200",1127,"C",0.687346204183996
"EN26_200",1130,"Fe",0.635159720201045
"EN26_200",1130,"Mn",0.622268727049232
"EN26_200",1130,"Se",0.483502082061023
"EN26_200",1130,"C",0.560778447659686
"EN26_200",1147,"Fe",0.238013224909082
"EN26_200",1147,"Mn",0.130376291228458
"EN26_200",1147,"Se",0.386790940538049
"EN26_200",1147,"C",0.134801484178752
"EN26_200",1154,"Fe",0.561561333714053
"EN26_200",1154,"Mn",0.513506624149159
"EN26_200",1154,"Se",0.911426939535886
